paper_id,reviewer_id,score
paper-006,reviewer-027,0.58
paper-007,reviewer-001,0.37
paper-007,reviewer-004,0.76
paper-007,reviewer-007,0.4
paper-007,reviewer-010,0.79
paper-007,reviewer-013,0.43
paper-007,reviewer-017,0.95
paper-007,reviewer-020,0.59
paper-007,reviewer-023,0.98
paper-007,reviewer-026,0.62
paper-007,reviewer-029,0.26
paper-008,reviewer-002,0.67
paper-008,reviewer-005,0.31
paper-008,reviewer-008,0.7
paper-008,reviewer-011,0.34
paper-008,reviewer-014,0.73
paper-008,reviewer-016,0.99
paper-008,reviewer-019,0.63
paper-008,reviewer-022,0.27
paper-008,reviewer-025,0.66
paper-008,reviewer-028,0.3
paper-009,reviewer-000,0.58
paper-009,reviewer-003,0.97
paper-009,reviewer-006,0.61
paper-009,reviewer-009,0.25
paper-009,reviewer-012,0.64
paper-009,reviewer-015,0.28
paper-009,reviewer-018,0.67
paper-009,reviewer-021,0.31
paper-009,reviewer-024,0.7
paper-009,reviewer-027,0.34
paper-010,reviewer-001,0.88
paper-010,reviewer-004,0.52
paper-010,reviewer-007,0.91
paper-010,reviewer-010,0.55
paper-010,reviewer-013,0.94
paper-010,reviewer-017,0.71
paper-010,reviewer-020,0.35
paper-010,reviewer-023,0.74
paper-010,reviewer-026,0.38
paper-010,reviewer-029,0.77
paper-011,reviewer-002,0.43
paper-011,reviewer-005,0.82
paper-011,reviewer-008,0.46
paper-011,reviewer-011,0.85
paper-011,reviewer-014,0.49
paper-011,reviewer-016,0.75
paper-011,reviewer-019,0.39
paper-011,reviewer-022,0.78
paper-011,reviewer-025,0.42
paper-011,reviewer-028,0.81
paper-012,reviewer-000,0.34
paper-012,reviewer-003,0.73
paper-012,reviewer-006,0.37
paper-012,reviewer-009,0.76
paper-012,reviewer-012,0.4
paper-012,reviewer-015,0.79
paper-012,reviewer-018,0.43
paper-012,reviewer-021,0.82
paper-012,reviewer-024,0.46
paper-012,reviewer-027,0.85
paper-013,reviewer-001,0.64
paper-013,reviewer-004,0.28
paper-013,reviewer-007,0.67
paper-013,reviewer-010,0.31
paper-013,reviewer-013,0.7
paper-013,reviewer-017,0.47
paper-013,reviewer-020,0.86
paper-013,reviewer-023,0.5
paper-013,reviewer-026,0.89
paper-013,reviewer-029,0.53
paper-014,reviewer-002,0.94
paper-014,reviewer-005,0.58
paper-014,reviewer-008,0.97
paper-014,reviewer-011,0.61
paper-014,reviewer-014,0.25
paper-014,reviewer-016,0.51
paper-014,reviewer-019,0.9
paper-014,reviewer-022,0.54
paper-014,reviewer-025,0.93
paper-014,reviewer-028,0.57
paper-015,reviewer-000,0.85
paper-015,reviewer-003,0.49
paper-015,reviewer-006,0.88
paper-015,reviewer-009,0.52
paper-015,reviewer-012,0.91
paper-015,reviewer-015,0.55
paper-015,reviewer-018,0.94
paper-015,reviewer-021,0.58
paper-015,reviewer-024,0.97
paper-015,reviewer-027,0.61
paper-016,reviewer-001,0.4
paper-016,reviewer-004,0.79
paper-016,reviewer-007,0.43
paper-016,reviewer-010,0.82
paper-016,reviewer-013,0.46
paper-016,reviewer-017,0.98
paper-016,reviewer-020,0.62
paper-016,reviewer-023,0.26
paper-016,reviewer-026,0.65
paper-016,reviewer-029,0.29
paper-017,reviewer-002,0.7
paper-017,reviewer-005,0.34
paper-017,reviewer-008,0.73
paper-017,reviewer-011,0.37
paper-017,reviewer-014,0.76
paper-017,reviewer-016,0.27
paper-017,reviewer-019,0.66
paper-017,reviewer-022,0.3
paper-017,reviewer-025,0.69
paper-017,reviewer-028,0.33
paper-018,reviewer-000,0.61
paper-018,reviewer-003,0.25
paper-018,reviewer-006,0.64
paper-018,reviewer-009,0.28
paper-018,reviewer-012,0.67
paper-018,reviewer-015,0.31
paper-018,reviewer-018,0.7
paper-018,reviewer-021,0.34
paper-018,reviewer-024,0.73
paper-018,reviewer-027,0.37
paper-019,reviewer-001,0.91
paper-019,reviewer-004,0.55
paper-019,reviewer-007,0.94
paper-019,reviewer-010,0.58
paper-019,reviewer-013,0.97
paper-019,reviewer-017,0.74
paper-019,reviewer-020,0.38
paper-019,reviewer-023,0.77
paper-019,reviewer-026,0.41
paper-019,reviewer-029,0.8
